year name gold host
1991 Philippines 91 y
1991 Myanmar 12 n
1991 Vietnam 7 n
1991 Brunei 0 n
1991 Laos 0 n
1993 Indonesia 88 n
1993 Malaysia 43 n
1993 Thailand 63 n
1993 Singapore 50 y
1993 Philippines 57 n
1993 Myanmar 8 n
1993 Vietnam 9 n
1993 Brunei 1 n
1993 Laos 0 n
1995 Thailand 157 y
1995 Indonesia 77 n
1995 Philippines 33 n
1995 Malaysia 31 n
1995 Singapore 26 n
1995 Vietnam 10 n
1995 Myanmar 4 n
1995 Brunei 0 n
1995 Laos 0 n
1995 Cambodia 0 n
1997 Thailand 83 n
1997 Indonesia 194 y
1997 Philippines 43 n
1997 Malaysia 55 n
1997 Singapore 30 n
1997 Vietnam 35 n
1997 Myanmar 8 n
1997 Brunei 0 n
1997 Laos 0 n
1997 Cambodia 0 n
1999 Thailand 65 n
1999 Indonesia 44 n
1999 Philippines 19 n
1999 Malaysia 57 n
1999 Singapore 23 n
1999 Vietnam 17 n
1999 Myanmar 3 n
1999 Brunei 4 y
1999 Laos 1 n
1999 Cambodia 0 n
2001 Thailand 103 n
2001 Indonesia 72 n
2001 Philippines 30 n
2001 Malaysia 111 y
2001 Singapore 22 n
2001 Vietnam 33 n
2001 Myanmar 19 n
2001 Brunei 0 n
2001 Laos 1 n
2001 Cambodia 1 n
2003 Malaysia 44 n
2003 Thailand 90 n
2003 Vietnam 158 y
2003 Singapore 30 n
2003 Indonesia 55 n
2003 Philippines 48 n
2003 Myanmar 16 n
2003 Laos 1 n
2003 Cambodia 1 n
2003 Brunei 1 n
2003 Timor-Leste 0 n
2005 Malaysia 61 n
2005 Thailand 87 n
2005 Vietnam 71 n
2005 Singapore 42 n
2005 Indonesia 49 n
2005 Philippines 113 y
2005 Myanmar 17 n
2005 Laos 3 n
2005 Cambodia 0 n
2005 Brunei 1 n
2005 Timor-Leste 0 n
2007 Malaysia 68 n
2007 Thailand 183 y
2007 Vietnam 64 n
2007 Singapore 43 n
2007 Indonesia 56 n
2007 Philippines 41 n
2007 Myanmar 14 n
2007 Laos 5 n
2007 Cambodia 2 n
2007 Brunei 1 n
2007 Timor-Leste 0 n
2009 Malaysia 40 n
2009 Thailand 86 n
2009 Vietnam 83 n
2009 Singapore 33 n
2009 Indonesia 43 n
2009 Philippines 38 n
2009 Myanmar 12 n
2009 Laos 33 y
2009 Cambodia 3 n
2009 Brunei 1 n
2009 Timor-Leste 0 n
2011 Malaysia 58 n
2011 Thailand 109 n
2011 Vietnam 96 n
2011 Singapore 42 n
2011 Indonesia 182 y
2011 Philippines 37 n
2011 Myanmar 16 n
2011 Cambodia 4 n
2011 Laos 9 n
2011 Brunei 0 n
2011 Timor-Leste 1 n
2013 Malaysia 43 n
2013 Thailand 108 n
2013 Vietnam 74 n
2013 Singapore 35 n
2013 Indonesia 64 n
2013 Philippines 29 n
2013 Myanmar 84 y
2013 Cambodia 8 n
2013 Laos 13 n
2013 Brunei 1 n
2013 Timor-Leste 2 n
2015 Malaysia 62 n
2015 Thailand 95 n
2015 Vietnam 73 n
2015 Singapore 84 y
2015 Indonesia 47 n
2015 Philippines 29 n
2015 Myanmar 12 n
2015 Cambodia 1 n
2015 Laos 0 n
2015 Brunei 0 n
2015 Timor-Leste 0 n
2017 Malaysia 145 y
2017 Thailand 72 n
2017 Vietnam 58 n
2017 Singapore 57 n
2017 Indonesia 38 n
2017 Philippines 24 n
2017 Myanmar 7 n
2017 Cambodia 3 n
2017 Laos 2 n
2017 Brunei 0 n
2017 Timor-Leste 0 n
2019 Philippines 149 y
2019 Vietnam 98 n
2019 Thailand 92 n
2019 Indonesia 72 n
2019 Malaysia 55 n
2019 Singapore 53 n
2019 Myanmar 4 n
2019 Cambodia 4 n
2019 Brunei 2 n
2019 Laos 1 n
2019 Timor-Leste 0 n
